Time,U,V,W
133.42,27.88,-1.77,1.09
133.43,33.5,-2.01,0.66
133.44,32.43,2.55,-0.1
133.45,31.38,2.12,0.01
133.46,31.36,-0.27,-0.94
133.47,31.34,-2.67,-1.9
133.48,29.78,-0.71,-1.16
133.49,28.22,1.25,-0.43
133.5,25.4,1.48,-0.46
133.51,26.21,1.98,-0.57
133.52,28.22,1.07,-1.25
133.53,28,2.48,-1.25
133.54,27.35,1.15,-0.78
133.55,26.71,-0.17,-0.31
133.56,32.35,2.3,-0.43
133.57,30.58,2.08,-1.43
133.58,28.82,3.33,-1.95
133.59,23.46,4.58,-1.93
133.6,25.52,0.48,-1.92
133.61,28.79,0.57,-0.93
133.62,23.51,2.72,-0.05
133.63,23.75,4.38,0.78
133.64,24,0.78,1.31
133.65,27,-2.8,1.85
133.66,28.13,-2.78,2.23
133.67,23.91,-2.96,1.2
133.68,24.42,-1.65,1.36
133.69,22.46,-0.49,1.82
133.7,23.34,0.24,1.93
133.71,26.8,-1.31,2.48
133.72,26.73,-0.68,2.21
133.73,26.46,0.49,1.74
133.74,25.65,-0.03,0.55
133.75,28.65,1.26,-0.15
133.76,28.2,-1.35,-0.87
133.77,25.22,-3.99,-1.64
133.78,26.91,-1.78,-1.59
133.79,25.49,-0.26,-1.26
133.8,24.73,-2.69,-0.62
133.81,24.93,-0.96,0.37
133.82,25.13,0.76,1.36
133.83,27.11,2.7,1.35
133.84,28,2.07,1.68
133.85,24.48,2.02,1.73
133.86,24.32,1.97,1.78
133.87,24.17,-0.76,2.07
133.88,24.96,-1.32,1.71
133.89,25.76,-1.88,1.35
133.9,23.21,1.37,1.2
133.91,23.26,3.05,0.82
133.92,24.96,1.25,1.15
133.93,25.81,0.7,1.14
133.94,24.18,2.19,1.36
133.95,26.08,1.48,1.16
133.96,27.3,0.78,0.34
133.97,26.19,0.87,0.61
133.98,25.09,0.97,0.89
133.99,23.63,-0.43,1.24
134,24.41,0.2,1.72
134.01,24.8,2.01,1.56
134.02,24.72,3.66,1.41
134.03,26.48,-1.42,2.48
134.04,27.75,0.08,2.19
134.05,26.87,0.46,2.09
134.06,29.39,-0.12,1.71
134.07,27.28,-2.22,1.53
134.08,25.18,-4.32,1.36
134.09,26.04,-2.7,1.16
134.1,26.91,-1.09,0.96
134.11,25.4,-3.55,0.26
134.12,24.36,-1.93,0.06
134.13,22.54,1.19,1.02
134.14,23.9,1.2,0.43
134.15,23.49,0.1,0.87
134.16,23.11,3.26,0.54
134.17,23.84,-0.24,1.7
134.18,24.57,2.67,0.59
134.19,26.28,3.29,-0.03
134.2,21.48,3.86,-0.38
134.21,21.17,2.3,-0.13
134.22,22.87,3.72,0.74
134.23,24.57,1.07,1.4
134.24,24.94,-0.17,0.43
134.25,25.19,1.53,-0.89
134.26,20.99,2.67,-0.81
134.27,17.24,3.8,-0.41
134.28,16.19,4.92,-0.01
134.29,20.36,4.36,-0.21
134.3,24.54,-1.16,1.75
134.31,23.36,1.59,0.77
134.32,22.18,0.21,1.26
134.33,22.42,-0.88,-0.31
134.34,21.53,-0.49,0.13
134.35,22.12,0.71,0.98
134.36,22.72,2.14,1.18
134.37,21.59,1.15,1.35
134.38,21.39,1.77,1.22
134.39,21.2,2.27,0.71
134.4,21.94,0.35,0.99
134.41,21.81,4.91,0.76
134.42,23.77,1.09,0.77
134.43,26.23,0.6,0.68
134.44,23.54,-2.51,0.68
134.45,21.64,0.21,0.81
134.46,22.32,2.94,0.94
134.47,23,1.95,0.35
134.48,22.17,4.28,0.4
134.49,23.98,4.94,-0.06
134.5,22.33,3,0.74
134.51,21.75,1.07,1.55
134.52,21.17,0.52,1.68
134.53,21.65,2.19,1.64
134.54,22.13,-1,2.41
134.55,24.51,1.02,2.63
134.56,24.12,-0.74,2.52
134.57,27.59,0.28,2.41
134.58,24.67,0.65,0.71
134.59,23.19,1.15,0.31
134.6,26.46,-0.54,-1.62
134.61,24.82,0.3,-0.65
134.62,23.02,-0.73,-1.34
134.63,21.22,0.56,-1.23
134.64,22.16,1.85,-1.13
134.65,25.42,1.02,0.15
134.66,24.15,3.07,-0.05
134.67,25.47,-0.78,-0.1
134.68,27.55,-3.59,-0.24
134.69,28.54,-3.15,0.54
134.7,29.62,2.63,0.21
134.71,29.07,-0.26,0.37
134.72,21.97,-2.77,0.37
134.73,25.52,-1.51,0.37
134.74,25.27,-1.59,1.31
134.75,26.3,-2.89,1.02
134.76,28.88,-0.98,2.43
134.77,27.97,0.73,2.29
134.78,26.78,-0.13,2.06
134.79,25.6,-0.99,1.84
134.8,28.78,-2.4,2.5
134.81,28.24,1.54,2.79
134.82,27.7,1.48,1.96
134.83,27.95,1.43,1.13
134.84,30.47,-1.29,-0.54
134.85,28.78,-0.49,-1.07
134.86,27.09,0.31,-1.61
134.87,21.22,-1.24,-0.63
134.88,23.55,1.31,1.37
134.89,22.56,4.82,2.51
134.9,27.61,5.9,1.66
134.91,23.91,4.93,0.81
134.92,24.73,3.97,0.58
134.93,28.5,3.24,1.16
134.94,32.28,2.51,1.75
134.95,29.92,3.24,-1.89
134.96,27.93,1,-2.81
134.97,26.64,-0.43,-3.09
134.98,29.91,0,-2.96
134.99,30.61,-1.15,-3.01
135,30.23,-2.31,-3.25
135.01,30.75,-1.21,-3.06
135.02,26.82,-0.12,-2.65
135.03,28.81,3.26,-2.25
135.04,27.43,2.2,-2
135.05,25.92,2.07,-1.34
135.06,24.42,1.94,-0.68
135.07,23.1,-0.03,-0.87
135.08,21.92,-0.28,-0.54
135.09,25.02,2.51,0.03
135.1,23.47,1.11,-0.25
135.11,26.21,-3.35,1.46
135.12,23.47,-1.05,1.57
135.13,26.51,-0.51,0.86
135.14,24.59,3.39,0.92
135.15,24.34,-1.07,0.99
135.16,23.25,-1.81,1.24
135.17,24.13,-1.89,1.63
135.18,27.17,-2.2,2.34
135.19,30.21,-2.52,1.66
135.2,26.12,-2.45,0.99
135.21,29.96,-0.81,0.71
135.22,28.15,-1.22,0.24
135.23,27.86,0.31,0.15
135.24,27.52,0.94,0.17
135.25,27.32,2.59,0.17
135.26,25.51,2.07,-0.09
135.27,23.71,1.56,-0.37
135.28,25.85,2.3,-0.96
135.29,25.23,2.56,-0.88
135.3,24.61,2.82,-0.8
135.31,23.91,1.72,-0.51
135.32,24.04,3.1,-0.51
135.33,24.18,4.49,-0.52
135.34,27.37,4.6,-0.74
135.35,25.77,4.72,-0.63
135.36,21.29,2.33,-1.07
135.37,25.04,3.77,-0.57
135.38,23.48,0.96,-0.76
135.39,28.22,-1.75,-1.61
135.4,25.85,-0.39,-1.18
135.41,23.96,0.15,-1.72
135.42,22.3,1.33,-2.27
135.43,22.6,2.51,-1.59
135.44,22.9,2.98,-1.1
135.45,22.78,1.93,-0.21
135.46,22.66,0.89,0.68
135.47,22.79,1.41,0.88
135.48,22.93,1.94,1.09
135.49,23.6,4.54,1.99
135.5,24.27,2.33,2.36
135.51,25.45,0.13,2.29
135.52,25.49,0.87,2.22
135.53,25.56,1.08,1.52
135.54,23.81,1.73,1.31
135.55,25.51,2.29,1
135.56,23.18,-2.31,0.35
135.57,24.49,0.05,0.19
135.58,23.16,-3,0.82
135.59,21.83,-1.47,0.5
135.6,22.83,-2.11,2.21
135.61,26.42,-0.38,1.1
135.62,24.02,-0.26,0.05
135.63,22.85,2.53,-0.98
135.64,23.81,0.65,-0.93
135.65,23.17,0.4,-1.13
135.66,21.97,1.37,-0.31
135.67,24.28,-1.51,-0.17
135.68,24.07,-0.28,-0.68
135.69,28.16,0.08,-2.1
135.7,31.06,-1.14,-2.52
135.71,29.61,-0.53,-2.21
135.72,23.94,0.77,-1.92
135.73,25.16,0.12,-1.18
135.74,26.39,-0.52,-0.46
135.75,25.22,4.25,-0.46
135.76,25.45,2.87,-0.44
135.77,24.94,1.29,-0.3
135.78,23.24,3.99,-0.4
135.79,24.25,3.81,-0.52
135.8,24.77,1.87,-0.83
135.81,25.15,0.06,-1.07
135.82,27.25,-0.32,-1.42
135.83,29.35,-0.71,-1.78
135.84,26.19,-1.55,-2.57
135.85,24.57,-2.43,-3.23
135.86,28.88,-2.7,-3.71
135.87,31.16,-0.05,-3.89
135.88,25.11,1.18,-3.53
135.89,25.04,-0.54,-3.33
135.9,23.63,0.8,-2.61
135.91,22.88,3.63,-1.89
135.92,22.13,4.58,-0.66
135.93,23.57,4.59,0
135.94,25.02,4.6,0.65
135.95,25.4,0.88,0.38
135.96,22.84,-0.44,0.38
135.97,21.9,1.27,0.94
135.98,22.49,2.99,1.51
135.99,23.08,2.96,1.38
136,22.85,3.17,0.87
136.01,22.23,3.39,0.8
136.02,22.62,1.31,1.2
136.03,23.01,2.59,1.81
136.04,23.33,1.75,2.1
136.05,23.65,1.25,1.32
136.06,23.19,0,1.1
136.07,22.57,0.8,2.22
136.08,22.97,1.42,1.43
136.09,23.37,-0.49,1.05
136.1,25.51,0.05,1.31
136.11,24.32,1.34,0.89
136.12,23.13,2.64,0.48
136.13,23.63,2.53,-0.26
136.14,23.4,2.42,-0.24
136.15,21.42,3.31,-0.91
136.16,19.84,2.41,-0.49
136.17,19.73,0.6,0.41
136.18,19.96,-0.33,0.93
136.19,20.71,0.13,1.76
136.2,21.47,0.05,1.81
136.21,22.74,-0.03,1.87
136.22,24,1.45,1.1
136.23,25.27,2.93,0.34
136.24,24.81,1.37,0
136.25,27.95,3.59,-0.48
136.26,27.81,4.14,-1.52
136.27,25.58,1.47,-1.64
136.28,23.27,4.22,-0.95
136.29,24.02,3.89,-0.26
136.3,24.77,3.57,0.28
136.31,24.57,2.75,0.77
136.32,26.12,4.19,1.53
136.33,23.29,0.76,1.81
136.34,26.78,-1.14,2.34
136.35,25.67,-1.34,1.85
136.36,24.57,-1.55,1.38
136.37,24.15,-0.66,0.61
136.38,23.74,0.23,-0.15
136.39,26.73,-2.66,-0.76
136.4,24.58,-2.85,-0.43
136.41,27.48,-2.74,-0.49
136.42,31.34,1.61,-1.71
136.43,30.88,-0.27,-2.18
136.44,29.55,-3.07,-1.93
136.45,29.56,-2.38,-1.69
136.46,27.4,-3.75,-0.81
136.47,25.24,-5.26,0.06
136.48,28.11,-4.55,1.63
136.49,26.66,-3.84,2.26
136.5,29.06,1.95,2.45
136.51,28.08,0.79,2.79
136.52,28.36,1,3.21
136.53,28.65,1.22,3.5
136.54,27.45,0.27,3.49
136.55,30.95,-0.52,3.13
136.56,31.99,-2.18,2.83
136.57,32.06,-1.04,2.53
136.58,27.32,-2.22,2.3
136.59,27.84,-3.41,1.73
136.6,28.48,-3.29,0
136.61,29.13,-3.18,-1.72
136.62,27.43,-2.27,-0.6
136.63,23.98,-0.27,-0.58
136.64,25.7,-1.27,-0.59
136.65,28.29,-1.75,-2.19
136.66,25.83,0.34,-1.39
136.67,23.37,2.43,-0.6
136.68,27.75,0.38,-0.79
136.69,32.15,-1.66,-0.99
136.7,30.48,1.22,-1.26
136.71,25.78,1.02,-0.17
136.72,27.93,-4.78,-1.43
136.73,26.85,-1.88,-0.79
136.74,27.95,2.76,0.03
136.75,29.58,0.6,0.78
136.76,31.22,-1.55,1.53
136.77,29.39,-1.33,1.08
136.78,28.5,-1.66,1.67
136.79,27.63,-1.99,2.26
136.8,26.5,-2.12,1.37
136.81,25.38,-2.27,0.49
136.82,22.07,-1.97,1.59
136.83,24.78,-1.14,1.59
136.84,27.21,-0.94,1.84
136.85,25.36,0,1.59
136.86,26.46,1.73,2.32
136.87,26.37,-1.86,1.92
136.88,27.3,-2.55,1.52
136.89,28.24,-3.24,0.24
136.9,24.57,-0.97,0.31
136.91,28,-0.52,-0.83
136.92,27.32,-0.88,-0.28
136.93,25.65,-1.04,-0.97
136.94,28.09,-1.42,-0.65
136.95,27.64,1.04,-0.54
136.96,27.2,3.5,-0.44
136.97,26.12,2.39,-0.54
136.98,25.72,1.22,-0.86
136.99,30.1,3.18,-1.37
137,28.87,4.01,0.15
137.01,24.51,4.85,-0.96
137.02,25.78,2.89,-0.76
137.03,28.45,5.07,0.27
137.04,29.54,5.05,-0.15
137.05,28.4,3.81,-0.67
137.06,29.94,2.58,-0.79
137.07,31.49,0.13,-0.91
137.08,29.24,1.27,-0.54
137.09,28.75,1.66,-0.05
137.1,28.27,2.05,0.43
137.11,29.89,1.82,0.57
137.12,30.09,3.19,0.74
137.13,30.74,4.57,1.12
137.14,31.74,2.51,1.04
137.15,32.74,0.46,0.96
137.16,31.04,-0.43,0.41
137.17,27.86,2.59,0.86
137.18,28.67,1.17,0.1
137.19,23.98,2.28,0.03
137.2,26.32,3.4,0.06
137.21,30.21,-0.15,1.42
137.22,33.96,-1.53,0.92
137.23,35.18,-0.35,-2.19
137.24,32.82,-0.94,-0.63
137.25,30.47,-2.7,-2.31
137.26,33.03,-1.52,-3.17
137.27,33.03,-1.41,-2.89
137.28,29.73,-2.12,-1.63
137.29,26.5,-1.93,-0.38
137.3,28.09,-1.76,0.96
137.31,29.69,-1.6,2.31
137.32,29.76,-1.4,1.82
137.33,31.4,0.11,1.33
137.34,33.05,1.63,-0.03
137.35,30.97,1.98,-0.49
137.36,26.85,2.45,1.37
137.37,28.44,4.26,0.82
137.38,30.03,4.08,0.27
137.39,25.58,3.9,-0.06
137.4,25.63,3.13,-0.2
137.41,27.41,2.3,-0.27
137.42,26.85,3.75,0.89
137.43,25.92,0.41,0.17
137.44,29.66,3.22,0.07
137.45,32.1,-0.6,-0.63
137.46,30.07,2.4,-0.49
137.47,33.3,2.23,-0.31
137.48,33.3,0.13,-1.1
137.49,30.03,-0.6,-2.3
137.5,31.64,1.37,-2.29
137.51,33.26,3.17,-2.29
137.52,31.04,3.75,-1.9
137.53,30.01,4.34,-1.52
137.54,28.99,-0.19,-0.88
137.55,27.94,1.95,0.64
137.56,26.89,4.09,2.17
137.57,31.83,4.51,0.57
137.58,29.36,4.94,1.38
137.59,30.59,5.04,0.98
137.6,29.97,0.53,1.17
137.61,27.95,-3.97,1.97
137.62,28.96,0.59,1.57
137.63,27.57,-0.96,1.03
137.64,23.6,-0.15,2.02
137.65,27.63,0.17,2.32
137.66,27.61,0.13,1.89
137.67,29.55,2.85,1.46
137.68,23.8,3.95,1.07
137.69,25.61,-0.35,0.91
137.7,28.72,-1.61,1.37
137.71,29.91,-2.63,0.74
137.72,30.48,4.09,0.15
137.73,30.19,0.73,0.44
137.74,29.46,1.75,-0.01
137.75,30.86,3.26,0.2
137.76,30.39,3.57,0.24
137.77,28.15,2.12,0.52
137.78,31.38,4.38,0.98
137.79,29.02,-0.68,0.94
137.8,26.66,-1.94,0.91
137.81,27.84,-3.21,0.92
137.82,25.02,1.26,1.34
137.83,27.97,0.44,1.27
137.84,27.18,1.09,0.7
137.85,29.19,-0.7,0.27
137.86,28.75,3.64,0.72
137.87,28.31,5.16,1.18
137.88,27.45,2.15,1.25
137.89,25.45,-0.85,2.33
137.9,29.98,-2.93,1.36
137.91,28.76,-1.65,1.24
137.92,28.79,-0.7,0
137.93,28.83,0.24,-1.25
137.94,28.74,-2.78,-1.09
137.95,29.82,-4.09,-0.1
137.96,26.75,-6.56,0.31
137.97,26.64,-6.98,0
137.98,25.29,-4.04,0.7
137.99,27.41,-1.1,1.87
138,26.35,-4.25,1.28
138.01,30.37,-2.59,0.94
138.02,31.92,-0.48,0.07
138.03,26.55,2.73,0.98
138.04,26.94,3.64,0.57
138.05,30.91,1.79,-0.49
138.06,28.97,0.72,-0.66
138.07,27.03,-0.35,-0.85
138.08,27.12,-1.42,-0.66
138.09,30.14,0.57,0.2
138.1,30.14,-1.47,0.38
138.11,32.46,-1.83,1.79
138.12,30.98,-0.31,1.11
138.13,31.86,0.38,-1.02
138.14,32.75,0.03,0.04
138.15,32.76,1.82,-1.64
138.16,33.45,-0.83,-2.53
138.17,29.6,0.44,-2.02
138.18,30.35,-0.1,-1.52
138.19,31.11,1.38,-2.18
138.2,28.24,2.11,-0.23
138.21,30.82,1.18,0.27
138.22,30.82,1.84,0.71
138.23,31.47,4.89,-1.62
138.24,32.13,3.28,-2.44
138.25,30.14,-0.2,-3.02
138.26,31.13,1.54,-1.19
138.27,24.38,3.61,0.63
138.28,27.75,2.57,-1.48
138.29,28.41,2.97,2.08
138.3,29.87,2.91,2.29
138.31,30.24,3.36,2.49
138.32,30.61,3.81,2.07
138.33,29.11,1.91,1.66
138.34,27.92,-0.36,1.34
138.35,26.73,-2.65,1.02
138.36,25.76,-4.01,0.57
138.37,24.67,-3.48,0.65
138.38,29.37,-2.96,0.87
138.39,31.27,-2.83,-0.55
138.4,26.14,-2.41,-1.28
138.41,21.32,1.74,-2.01
138.42,22.98,1.11,-0.87
138.43,24.64,0.2,-0.95
138.44,28.31,-0.7,-1.04
138.45,27.59,-2.73,-0.41
138.46,23.58,0.31,-0.43
138.47,22.07,-0.6,0.88
138.48,22.35,1.99,1.81
138.49,22.1,3.61,2.15
138.5,21.85,4.6,2.5
138.51,20.96,5.28,1.87
138.52,21.59,4.96,1.25
138.53,22.22,4.65,0.68
138.54,20.73,-1.8,0.96
138.55,20.35,-3.41,1.25
138.56,22.61,-3.2,1.1
138.57,24.87,-3,2.02
138.58,24.14,-0.71,1.94
138.59,23.96,1.53,1.87
138.6,23.75,-1.33,1.55
138.61,26.75,0.24,0.68
138.62,26.6,-1.9,1.85
138.63,22.78,2.96,2.1
138.64,24.69,0.52,2.35
138.65,30.93,-0.01,2.02
138.66,29.57,0.17,1.7
138.67,28.22,0.35,0.34
138.68,29.72,-1.11,-0.06
138.69,32.89,0.58,-0.11
138.7,33.26,2.28,-0.17
138.71,32.25,2.14,-0.9
138.72,31.25,2,-1.63
138.73,32.65,2.31,-2.3
138.74,31.77,2.04,-2.93
138.75,30.89,0.51,-2.14
138.76,22.05,4.21,-1.36
138.77,26.47,2.35,-0.81
138.78,29.62,3.4,-0.26
138.79,32.77,2.87,-1.35
138.8,27.02,2.97,-0.6
138.81,29.89,2.92,-0.97
138.82,32.73,2.23,-0.97
138.83,32.06,-0.59,-0.97
138.84,30.7,1.64,-0.49
138.85,32.53,0.52,-0.35
138.86,35.64,-0.49,-0.91
138.87,36.2,0.98,-1.39
138.88,33.74,0.24,-1.87
138.89,31.28,0.78,-2.19
138.9,30.32,-1.75,-1.05
138.91,29.76,-1.92,-1.37
138.92,30.93,-0.96,-1.26
138.93,32.1,0,0
138.94,32.18,0.68,-0.13
138.95,32.28,0.76,-0.82
138.96,31.6,-3.24,-1.54
138.97,32.61,-0.24,-1.81
138.98,31.09,-1.74,-2.08
138.99,29.58,1.31,-0.13
139,31.6,-0.21,-1.1
139.01,33.18,1.15,-0.87
139.02,34.35,-2.08,-1.2
139.03,35.56,0.55,-1.25
139.04,36.79,0.45,-1.74
139.05,36.32,0.35,-2.23
139.06,33.77,-2.1,-1.85
139.07,31.22,0.64,-1.48
139.08,26.57,3.39,-0.2
139.09,28.06,4.46,0.54
139.1,27.31,5.53,0.17
139.11,27.68,3.9,0.35
139.12,31.7,2.28,-1.82
139.13,31.84,1.37,-1.59
139.14,31.99,3.44,-1.02
139.15,31.56,2.1,0.62
139.16,31.13,0.76,2.26
139.17,31.07,-1.75,1.52
139.18,31.01,2.26,2.03
139.19,29.31,4.3,3.14
139.2,27.61,1.75,3.11
139.21,27.97,-0.78,3.2
139.22,30.61,1.33,2.83
139.23,30.91,1.87,2.47
139.24,31.06,-1.93,0.35
139.25,26.45,-2.59,0.48
139.26,21.84,-3.26,0.62
139.27,24.14,-2.92,0.55
139.28,28.06,-3.94,1.22
139.29,31.54,-4.09,-0.38
139.3,31.1,-4.25,0.21
139.31,30.66,-2.75,0.81
139.32,31.43,-1.79,0.35
139.33,32.54,-0.83,-1.42
139.34,32.11,-2.99,-0.53
139.35,31.7,-2.11,-0.95
139.36,30.24,-0.07,-1.38
139.37,28.79,1.95,-0.4
139.38,29.51,0.93,-0.89
139.39,31.39,-0.95,-2.06
139.4,33.27,-2.84,-1.48
139.41,32,-4.06,-1.9
139.42,30.73,-3.86,-1.15
139.43,30.3,-5.21,-0.25
139.44,29.87,-5.52,0.65
139.45,31.59,-5.32,1.85
139.46,33.32,-5.49,2.53
139.47,29.64,-5.23,2.72
139.48,31.5,-4.75,2.67
139.49,33.37,-4.28,2.33
139.5,32.73,-4.14,1.99
139.51,31.32,-4,2.03
139.52,29.91,-2.41,2.08
139.53,27.14,-1.6,2.03
139.54,27.97,-3.86,1.99
139.55,31.09,-1.86,0.97
139.56,30.14,-4.1,-0.15
139.57,32.35,-1.65,-1.09
139.58,27.82,0.86,-0.52
139.59,27.7,-3.28,-1.24
139.6,29.69,0.18,-0.49
139.61,31.69,3.66,0.26
139.62,32.97,3.13,-0.54
139.63,33.26,-0.85,-0.51
139.64,33.56,-0.94,-1.03
139.65,32.87,-1.04,-1.55
139.66,33.57,-4.39,-1.25
139.67,30.42,0.24,-0.53
139.68,27.27,4.87,0.19
139.69,28.84,2.55,-0.17
139.7,30.21,-1.47,1.66
139.71,30.52,-1.53,1.84
139.72,31.06,-0.65,2.11
139.73,32.9,-0.54,2.17
139.74,33.23,-0.52,1.54
139.75,33.57,-0.85,-0.66
139.76,33.33,-0.12,-1.26
139.77,33.1,-0.52,-0.86
139.78,33.28,-2.28,0.06
139.79,35.42,2.41,-0.2
139.8,34.95,2.73,-0.66
139.81,35.48,-2.8,-1.22
139.82,36.7,-0.03,-0.93
139.83,36.81,-1.04,-1.2
139.84,36.76,2.45,-2.02
139.85,35.37,3.46,-1.4
139.86,33.38,3.63,-0.79
139.87,31.4,5.7,-0.83
139.88,28.81,6.43,-0.87
139.89,27.97,5.3,-0.6
139.9,28.93,4.17,-0.61
139.91,29.91,1.17,-0.62
139.92,33.43,2.37,0.01
139.93,31.67,3.59,-0.3
139.94,33.15,-0.49,1.64
139.95,34.86,0.03,1.63
139.96,35.39,0.83,0.46
139.97,35.35,0.17,-0.83
139.98,32.65,-0.49,-2.12
139.99,29.96,-0.28,-2.08
140,32.49,0.87,-1.27
140.01,33.08,1.12,-1.59
140.02,33.4,1.37,-1.92
140.03,33.54,2.44,-2.04
140.04,34.44,1.9,-2.17
140.05,34.14,-1.57,0.23
140.06,33.78,-2.45,0.05
140.07,33.43,0.52,-0.76
140.08,34.32,2.17,-0.89
140.09,35.23,1.9,-2.12
140.1,34.32,1.63,-2.79
140.11,33.42,2.35,-3.18
140.12,30.7,3.09,-3.34
140.13,32.94,3.2,-3.12
140.14,31.68,4.23,-2.71
140.15,30.43,3.81,-2.3
140.16,27.95,3.4,-0.91
140.17,28.4,2.73,0.1
140.18,29.95,0.2,0.45
140.19,31.51,-2.32,0.81
140.2,30.34,0.31,0.99
140.21,29.17,-2.03,0.57
140.22,29.09,2.81,0.07
140.23,29.01,3.48,-0.43
140.24,30.52,4.15,0.25
140.25,32.04,0.65,0.93
140.26,32.14,4.58,-1.09
140.27,32.24,4.58,-1.65
140.28,29.6,4.58,-2.21
140.29,27.39,1.85,-2.3
140.3,29.42,3.11,-1.57
140.31,26.44,1.46,-1.31
140.32,30.95,0.85,-0.71
140.33,31.22,-3.79,-1.53
140.34,31.49,-2.16,0
140.35,31.27,-1.26,0.49
140.36,31.69,-1.32,1.1
140.37,32.12,0.1,0.52
140.38,32.05,1.67,0.93
140.39,31.99,3.97,1.68
140.4,25.33,4.48,1.48
140.41,28.66,4.64,1.58
140.42,28.09,4.8,1
140.43,27.5,2.38,0.54
140.44,29.1,1.47,0.59
140.45,29.76,3.92,0.51
140.46,28.22,1.93,0.52
140.47,26.85,2.88,0.41
140.48,26.3,3.15,0.41
140.49,26.98,-2.6,1.07
140.5,26.85,0.15,0.8
140.51,29.98,-0.78,0.87
140.52,28.31,-0.09,0.57
140.53,26.64,0.6,0.27
140.54,29.3,-1.26,0.32
140.55,31.22,-0.27,0.16
140.56,33.14,0.7,0.01
140.57,30.16,-3.26,-1.33
140.58,27.43,-0.15,0.06
140.59,31.33,1.37,0.87
140.6,31.93,1.95,0.38
140.61,32.55,2.53,-0.1
140.62,30.01,0.63,-1.03
140.63,26.71,-0.35,-0.85
140.64,27.9,1.84,-0.09
140.65,32.04,2.04,0.3
140.66,32.07,2.25,0.7
140.67,32.12,1.3,-0.98
140.68,31.44,2.71,-0.33
140.69,30.77,4.14,0.31
140.7,30.48,1.04,0.46
140.71,31.99,3.97,1.03
140.72,30.05,3.86,1.48
140.73,31.38,-2.65,1.65
140.74,32.17,-0.51,1.65
140.75,33.16,-0.35,0.44
140.76,33.06,-0.2,-0.76
140.77,32.96,0.54,-1.16
140.78,34.15,0.12,-2.14
140.79,32.89,-0.94,-1.59
140.8,31.63,3.37,-1.05
140.81,33.49,1.21,-1.75
140.82,32.53,-0.64,-0.6
140.83,33.01,-2.5,-1.17
140.84,32.96,-0.65,-0.41
140.85,32.91,1.02,0.01
140.86,33.18,2.02,0.2
140.87,33.45,3.02,0.1
140.88,32.66,-2.43,-0.73
140.89,31.88,-3.56,-0.24
140.9,32.72,-0.51,-0.02
140.91,33.57,2.54,0.19
140.92,34.31,2.9,-0.58
140.93,33.54,3.26,-1.36
140.94,32.78,2.56,-1.44
140.95,30.5,1.86,-0.32
140.96,31.53,4.41,-0.65
140.97,32.56,3.13,-0.48
140.98,32.91,-0.22,-1.02
140.99,34.06,2.76,-1.64
141,33.64,0.51,-0.08
141.01,33.23,0.17,0.46
141.02,32.71,0.77,0.4
141.03,32.19,1.37,0.35
141.04,30.82,-0.2,0.1
141.05,29.79,-0.67,-0.38
141.06,31.97,-1.47,-0.76
141.07,34.26,-2.27,-1.14
141.08,35.09,3.1,-1.08
141.09,34.03,2.41,-1.53
141.1,32.98,0.77,-1.05
141.11,34.42,0.82,-1.33
141.12,33.53,4.36,-0.83
141.13,32.65,2.37,-1.42
141.14,29.62,4.78,-1.67
141.15,32.49,3.89,-1.92
141.16,34.57,5.58,-2
141.17,34.8,4.47,-2.1
141.18,32.84,3.37,-2.2
141.19,30.88,3.92,-1.43
141.2,33.57,3.74,-1.79
141.21,34.17,4.38,-1.78
141.22,33.9,2.79,-1.78
141.23,33.21,1.2,-2.19
141.24,32.53,-2.61,-1.97
141.25,30.77,2.04,-1.76
141.26,31.13,-1.09,-1.71
141.27,32.79,-1.18,-2.39
141.28,33.56,-2.4,-2.59
141.29,33.04,-1.79,-2.59
141.3,32.53,-0.27,-2.4
141.31,31.56,1.53,-2.22
141.32,30.69,0.39,-1.79
141.33,30.11,1.76,-1.36
141.34,31.43,-0.51,-0.21
141.35,32.76,-2.78,0.93
141.36,30.82,-0.89,0.1
141.37,28.9,-1.24,0.35
141.38,29.97,-0.54,-0.13
141.39,31.04,0.15,-0.63
141.4,33.1,0.6,-1.1
141.41,33.48,2.14,-1.42
141.42,29.6,0.19,-1.07
141.43,32.01,0.38,-0.76
141.44,25.65,-1.66,-0.13
141.45,25.9,0.57,0.12
141.46,27.52,-1.18,0.89
141.47,29.15,-2.94,1.66
141.48,28.27,-2.06,1.51
141.49,27.39,-1.18,1.36
141.5,27.67,2.05,1.74
141.51,27.95,4.64,2.12
141.52,28.99,3.06,0.21
141.53,31.36,1.49,-2.15
141.54,26.66,0.82,-1.42
141.55,26.8,3.7,-1.25
141.56,29.69,6.04,-0.87
141.57,28.76,6.83,0.1
141.58,30.23,6.18,0.98
141.59,32.17,5,1.61
141.6,29.71,3.83,0.88
141.61,28.13,0.85,0.87
141.62,30.36,3.66,2.03
141.63,32.34,4.25,0.08
141.64,33.61,1.08,0.39
141.65,34.53,-0.74,-0.14
141.66,34.12,-2.56,-0.68
141.67,34.34,0.44,-0.41
141.68,31.5,-1.06,-0.54
141.69,28.66,-5.38,1.36
141.7,27.66,-4.18,2.53
141.71,27.86,-2.99,2.89
141.72,28.06,3.73,2.98
141.73,27.96,0.36,2.16
141.74,33.24,0.46,1.35
141.75,32.79,-0.64,0.74
